23.57,46.07,Alba Iulia,Alba
23.58,46.1,Barabant,Alba
23.56,46.1,Micesti,Alba
23.59,46.02,Oarda,Alba
23.52,46.05,Paclisa,Alba
23.61,46.05,Ciugud,Alba
23.63,46.08,Drambar,Alba
23.6,46.04,Limba,Alba
23.67,46.08,Hapria,Alba
23.63,46.06,Seusa,Alba
23.63,46.09,Teleac,Alba
23.07,46.27,Abrud,Alba
23.06,46.28,Abrud-Sat,Alba
23.09,46.26,Gura Cornei,Alba
23.03,46.28,Soharu,Alba
23.72,46.31,Aiud,Alba
23.69,46.32,Aiudul de Sus,Alba
23.72,46.35,Gambas,Alba
23.65,46.34,Magina,Alba
23.75,46.34,Pagida,Alba
23.76,46.31,Ciumbrud,Alba
23.67,46.26,Garbova de Jos,Alba
23.62,46.29,Garbova de Sus,Alba
23.64,46.28,Garbovita,Alba
23.75,46.29,Sancrai,Alba
23.69,46.26,Tifra,Alba
23.92,46.18,Blaj,Alba
23.85,46.1,Deleni-Obarsie,Alba
23.87,46.11,Flitesti,Alba
23.9,46.17,Izvoarele,Alba
23.92,46.19,Petrisat,Alba
23.89,46.16,Tiur,Alba
23.92,46.17,Veza,Alba
23.97,46.14,Manarade,Alba
23.94,46.14,Spatac,Alba
23.05,46.37,Campeni,Alba
23.07,46.36,Boncesti,Alba
23.01,46.41,Borlesti,Alba
23.01,46.38,Botesti,Alba
23.03,46.41,Certege,Alba
23.05,46.41,Coasta Vascului,Alba
23.09,46.36,Dandut,Alba
23.06,46.38,Dealu Bistrii,Alba
23.07,46.41,Dealu Capsei,Alba
23.05,46.4,Dric,Alba
23.06,46.35,Fata Abrudului,Alba
23.02,46.39,Floresti,Alba
23.08,46.34,Furduiesti,Alba
23.03,46.37,Mihoesti,Alba
23.04,46.38,Motorasti,Alba
23.03,46.44,Peste Valea Bistrii,Alba
23.05,46.35,Poduri,Alba
23.02,46.37,Sorlita,Alba
23.01,46.45,Tomusesti,Alba
23.07,46.38,Valea Bistrii,Alba
23.03,46.4,Valea Caselor,Alba
23.07,46.36,Varsi,Alba
23.37,45.84,Cugir,Alba
23.43,45.77,Bocsitura,Alba
23.4,45.79,Bucuru,Alba
23.44,45.83,Calene,Alba
23.35,45.81,Feteni,Alba
23.46,45.78,Goasele,Alba
23.45,45.82,Mugesti,Alba
23.35,45.89,Vinerea,Alba
23.85,46.39,Ocna Mures,Alba
23.84,46.37,Uioara de Jos,Alba
23.88,46.39,Uioara de Sus,Alba
23.81,46.38,Cisteiu de Mures,Alba
23.79,46.37,Micoslaca,Alba
23.87,46.41,Razboieni-Cetate,Alba
23.57,45.96,Sebes,Alba
23.56,45.99,Lancram,Alba
23.56,45.92,Petresti,Alba
23.62,45.9,Rahau,Alba
23.22,46.11,Zlatna,Alba
23.15,46.18,Botesti,Alba
23.13,46.19,Budeni,Alba
23.15,46.12,Dealu Roatei,Alba
23.14,46.17,Dobrot,Alba
23.19,46.14,Dumbrava,Alba
23.3,46.1,Fenes,Alba
23.29,46.09,Galati,Alba
23.17,46.15,Izvoru Ampoiului,Alba
23.26,46.09,Patrangeni,Alba
23.16,46.14,Pirita,Alba
23.19,46.16,Parau Gruiului,Alba
23.25,46.1,Podu lui Paul,Alba
23.22,46.19,Runc,Alba
23.11,46.21,Rusi,Alba
23.25,46.09,Suseni,Alba
23.15,46.15,Trampoiele,Alba
23.28,46.08,Valea Mica,Alba
23.22,46.14,Valtori,Alba
22.97,46.45,Albac,Alba
22.99,46.46,Barasti,Alba
22.97,46.48,Budaiesti,Alba
22.99,46.47,Cionesti,Alba
22.91,46.49,Costesti,Alba
22.99,46.49,Dealu Lamasoi,Alba
22.94,46.46,Deve,Alba
22.94,46.44,Dupa Plese,Alba
22.96,46.46,Fata,Alba
22.93,46.45,Plesesti,Alba
22.93,46.44,Potionci,Alba
22.96,46.43,Rogoz,Alba
22.93,46.48,Rosesti,Alba
22.96,46.48,Rusesti,Alba
22.95,46.47,Sohodol,Alba
22.93,46.45,Tamboresti,Alba
23.13,46.1,Almasu Mare,Alba
23.11,46.07,Almasu de Mijloc,Alba
23.1,46.1,Bradet,Alba
23.18,46.04,Cheile Cibului,Alba
23.19,46.06,Cib,Alba
23.16,46.06,Glod,Alba
23.15,46.08,Nadastia,Alba
22.76,46.48,Arieseni,Alba
22.75,46.48,Avramesti,Alba
22.71,46.51,Bubesti,Alba
22.78,46.54,Casa de Piatra,Alba
22.74,46.49,Cobles,Alba
22.77,46.46,Dealu Bajului,Alba
22.76,46.49,Fata Cristesei,Alba
22.78,46.47,Fata Lapusului,Alba
